ID,NickName,Name,Country
19694.0,nqz,Lucas 'nqz' Soares,Brazil
19045.0,latto,Bruno 'latto' Rebelatto,Brazil
22922.0,emiliaqaq,Junjie 'EmiliaQAQ' Tang,China
20254.0,starry,Lizhi 'Starry' Ye,China
16551.0,westmelon,Zhe 'Westmelon' Niu,China
18744.0,z4kr,Sike 'z4kr' Zhang,China
20702.0,jee,Dongkai 'Jee' Ji,China
22476.0,virtuoso,Karol 'virtuoso' Wrześniewski,Poland
15940.0,sobol,Kamil 'Sobol' Sobolewski,Poland
9798.0,lunatic,Dawid 'lunAtic' Cieślak,Poland
20245.0,samey,Dawid 'SaMey' Stańczak,Poland
15203.0,reiko,Kamil 'reiko' Cegiełko,Poland
22775.0,xc,Cheng 'xc' Xing,China
22577.0,dcey,Fenglin 'dcey' Cai,China
22973.0,kvvvin,Rundong 'Kvvvin' Gao,China
23533.0,an,Zeyuan 'An' Li,China
23535.0,lfx539,Fanxuan 'lfx539' Liu,China
9108.0,tucks,Tyler 'tucks' Reilly,Australia
21854.0,forleks,Marvin 'Forleks' Tran,Australia
12875.0,danger,Sharvesh 'dangeR' Saravanan,Australia
19732.0,versa,Reily 'versa' Dundas,Australia
20876.0,supar,Joshua 'supar' Bundle,Australia
14294.0,hazr,Jared 'hazr' O'Bree,Australia
11485.0,malta,Liam 'malta' Schembri,Australia
20086.0,addict,Christian 'ADDICT' Pendleton,New Zealand
12588.0,brace,Toby 'BRACE' Barnes,Australia
18736.0,pz,Jordan 'pz' White,Australia
20754.0,kobe,Kobe 'Kobe' Doswell,Australia
22331.0,kraxyt,Kailum 'KRAXYT' Brian Tucker,Australia
22629.0,omichella,Jack 'Omichella' McLoughlin,Australia
23345.0,dpr,Joshua 'dpr' Henderson-Smith,Australia
20529.0,mingovi,Ming 'Mingovi' O'mallon,Vietnam
22106.0,azuwu,Oscar 'AZUWU' Bell,United Kingdom
20447.0,heavygod,Nikita 'HeavyGod' Martynenko,Israel
9019.0,surreal,Kia 'Surreal' Man,United Kingdom
8983.0,mightymax,Max 'MiGHTYMAX' Heath,United Kingdom
20870.0,sl3nd,Henrich 'sl3nd' Hevesi,Hungary
14329.0,obzen,James 'ObZen' Levy ,Australia
16228.0,tom,Thomas 'toM' Hogan,Australia
17934.0,kyson,Kyson 'kyson' Faulkner-Dimond,Australia
18346.0,callum-murray,Callum 'callum_murray' Hardy,Australia
20396.0,drox,Braiden 'Drox' Webb,Australia
17392.0,rekonz,Daniel 'rekonz' Mort,Australia
19906.0,damyo,Damon 'damyo' Portelli,Australia
19190.0,liki,Benson 'Liki' Niuila,Australia
19191.0,mizzy,Matt 'mizzy' Webster,Australia
19919.0,guag,Angus 'guag' Lloyd,Australia
14956.0,yourwombat,Will 'yourwombat' Allchin,Australia
16323.0,valiance,Matthew 'Valiance' Hartrick,Australia
19515.0,val,Timothy 'val' Youn,New Zealand
20017.0,motion,Jeremy 'motion' Lloyd,Australia
18737.0,falcon,Patrick 'Falcon' Desousa,Portugal
8746.0,james,James 'James' Quinn,Australia
9097.0,raz,Razmik 'RaZ' Bastadjan,New Zealand
2007.0,ap0c,Mike 'ap0c' Aliferis,Australia
20551.0,ryza,Ryan 'ryza' White,Australia
18499.0,plam,Joe 'Plam' Plamenac,Australia
20519.0,lcm,Leonardo 'Lcm' Moreira,Brazil
20522.0,gbb,Gabriel 'gbb' Pereira,Brazil
17325.0,nolkz,Felipe 'nolkz' Rodrigues,Brazil
22362.0,xureba,Bruno 'xureba' Sigwalt,Brazil
21762.0,cso,Cauã 'CSO' Staimbach,Brazil
7594.0,flamie,Egor 'flamie' Vasilyev,Russia
21706.0,fen2k,Dmitriy 'fen2k' Gladskikh,Russia
22459.0,sh1nejezzz,Maksim 'sh1nejezzz' Vinogradov,Russia
22460.0,riskyb0b,Maksim 'riskyb0b' Churikov,Russia
22879.0,fenomen,Ilya 'FenomeN' Kolodko,Belarus
17314.0,spuffy,Tim 'spuffy' Thunberg,Sweden
22759.0,jocab,Jacob 'jocab' Nerheden,Sweden
22762.0,timhehe,Tim 'TIMhehe' Hennichs,Sweden
22760.0,upe,Markus 'upE' Johansson,Sweden
20877.0,tvs,Timothy 'tvs' Sjöberg,Sweden
15569.0,sapec,Anton 'Sapec' Palmgren,Sweden
15949.0,peppzor,Peppe 'Peppzor' Borak,Sweden
19065.0,shine,Casper 'SHiNE' Wennerberg,Sweden
3849.0,jw,Jesper 'JW' Wecksell,Sweden
16029.0,heap,Ludvig 'HEAP' Alonso,Sweden
8528.0,hobbit,Abay 'HObbit' Khassenov,Kazakhstan
16555.0,ax1le,Sergey 'Ax1Le' Rykhtorov,Russia
16920.0,sh1ro,Dmitry 'sh1ro' Sokolov,Russia
16947.0,perfecto,Ilya 'Perfecto' Zalutskiy,Russia
8918.0,electronic,Denis 'electroNic' Sharipov,Russia
16938.0,sterzig,Arnas 'Sterzig' Kavoliunas,Lithuania
21969.0,graviti,Filip 'Graviti' Brankovic,France
19207.0,eiza,Einārs 'EIZA' Zarāns,Latvia
18163.0,bibu,Bebu 'Bibu' Aadil,Iraq
20289.0,dgl,Brajan 'DGL' Lemecha,Poland
7700.0,robiin,Robin 'robiin' Sjögren,Sweden
9811.0,plessen,Niclas 'PlesseN' Plessen,Sweden
7443.0,twist,Simon 'twist' Eliasson,Sweden
15501.0,b0denmaster,Jonathan 'b0denmaster' Bodenmalm,Sweden
22860.0,avid,Arvid 'avid' Åberg,Sweden
16612.0,n0rb3r7,David 'n0rb3r7' Danielyan,Russia
20101.0,fame,Petr 'fame' Bolyshev,Russia
13776.0,jame,Dzhami 'Jame' Ali,Russia
12732.0,fl1t,Evgenii 'FL1T' Lebedev,Russia
8789.0,mir,Nikolay 'mir' Bityukov,Russia
16147.0,cptkurtka023,Arseniy 'cptkurtka023' Derevinskiy,Ukraine
20425.0,r1nkle,Artem 'r1nkle' Moroz,Ukraine
20422.0,owner,Mykhailo 'OWNER' Lymar,Ukraine
21708.0,npl,Andrii 'npl' Kukharskyi,Ukraine
19617.0,amster,Denis 'amster' Liashenko,Ukraine
12810.0,shock,Max 'SHOCK' Kvapil,Czech Republic
798.0,oskar,Tomáš 'oskar' Šťastný,Czech Republic
8488.0,zedko,Jindřich 'ZEDKO' Chyba,Czech Republic
20345.0,kwertzz,Simon 'KWERTZZ' Horák,Czech Republic
11199.0,beastik,Sebastian 'beastik' Daňo,Czech Republic
5736.0,kngv,Vito 'kNgV-' Giuseppe,Brazil
18714.0,piriajr,Guilherme 'piriajr' Barbosa,Brazil
9220.0,shoowtime,Gustavo 'SHOOWTiME' Gonçalves,Brazil
20183.0,decenty,Lucas 'decenty' Bacelar,Brazil
11739.0,shz,Bruno 'shz' Martinelli,Brazil
11654.0,almazer,Almaz 'almazer' Asadullin,Russia
21266.0,1eer,Aliaksandr '1eeR' Nahorny,Belarus
20600.0,sm3t,Matvey 'sm3t' Gogin,Russia
20994.0,fl4mus,Timur 'FL4MUS' Marev,Russia
23469.0,woozzzi,Ruslan 'woozzzi' Aliev,Czech Republic
9261.0,lekr0,Jonas 'Lekr0' Olofsson,Sweden
16487.0,eraa,Sean 'eraa' Knutsson,Sweden
20879.0,maxster,Max 'maxster' Jansson,Sweden
17937.0,isak,Isak 'isak' Fahlén,Sweden
21012.0,ro1f,Kalle 'Ro1f' Johansson,Sweden
17504.0,kei,Kamil 'KEi' Pietkun,Poland
4829.0,mynio,Wiktor 'mynio' Kruk,Poland
15428.0,goofy,Krzysztof 'Goofy' Górski,Poland
16848.0,hades,Olek 'hades' Miskiewicz,Poland
19114.0,kylar,Kacper 'Kylar' Walukiewicz,Poland
19739.0,ex3rcice,Pierre 'Ex3rcice' Bulinge,France
19738.0,djoko,Thomas 'Djoko' Pavoni,France
13497.0,lucky,Lucas 'Lucky' Chastang,France
9656.0,hadji,Ali 'hAdji' Haïnouss,France
13138.0,maka,Bryan 'Maka' Canda,France
964.0,mou,Rustem 'mou' Telepov,Kazakhstan
17792.0,ice,Aman 'ice' Seitkaliyev,Kazakhstan
18752.0,kade0,Aidos 'kade0' Khairzhan,Kazakhstan
735.0,dosia,Mihail 'Dosia' Stolyarov,Russia
16870.0,problem,Dmitriy 'ProbLeM' Martinov,Russia
20320.0,n1ghtraid,Aron 'N1ghtraid' Dang,Vietnam
22972.0,kasze,Weiheng 'kasze' Lin,China
23534.0,onew,Yang 'oNew' Zhu,China
20385.0,kye,Kayke 'kye' Bertolucci,Brazil
20673.0,lin,Willian 'LIN' Soares Barbosa Da Silva,Brazil
20577.0,bruninho,Bruno 'Bruninho' Rodrigues,Brazil
22084.0,mello,Leonardo 'mello' Melo,Brazil
20157.0,lub,Lucas 'lub' Baracat,Brazil
17028.0,abr,Abraão 'abr' Campagnac,Brazil
18891.0,cutzmeretz,Lucas 'CutzMeretz' Freitas ,Brazil
18963.0,suplexn1,Mateus 'supLexN1' Miranda,Brazil
20521.0,alisson,Alisson 'Alisson' Farias,Brazil
21699.0,n9xtz,Leonardo 'n9xtz' Santos,Brazil
20084.0,togs,Victor 'togs' Rapassi,Brazil
21921.0,rdnzao,Daniel 'rdnzao' Monteiro,Brazil
16645.0,drg,Rodrigo 'drg' Ausenka,Brazil
20558.0,gafolo,Victor 'Gafolo' Andrade,Brazil
22911.0,doc,Danilo 'doc' Barros,Brazil
20301.0,tauson,Sebastian 'Tauson' Tauson Lindelof,Denmark
2898.0,raalz,Rasmus 'raalz' Steensborg,Denmark
20090.0,zyphon,Rasmus 'Zyphon' Nordfoss,Denmark
20127.0,w0nderful,Ihor 'w0nderful' Zhdanov,Ukraine
19064.0,spooke,Olle 'spooke' Grundström,Sweden
22779.0,jz,Joao 'jz' Lourenço,Brazil
21100.0,zede,Vinicius 'zede' Reis,Brazil
22082.0,fokiu,Marcos 'fokiu' Paulo,Brazil
22965.0,saadzin,Guilherme 'saadzin' Pacheco,Brazil
22964.0,stormzyn,Vitor 'stormzyn' Ferreira,Brazil
21284.0,happ,Guilherme 'happ' Bento,Brazil
19991.0,hoax,Marcos 'hoax' Henrique,Brazil
11747.0,jnt,Jhonatan 'jnt' Silva,Brazil
21170.0,koala,João 'koala' Pedro,Brazil
22421.0,rainny,Rafael 'rainny' Silva,Brazil
12781.0,k1to,Nils 'k1to' Gruhne,Germany
19044.0,f1ku,Maciej 'F1KU' Miklas,Poland
9618.0,nexa,Nemanja 'nexa' Isaković,Serbia
11954.0,fashr,Dion 'FASHR' Derksen,Netherlands
20123.0,regali,Iulian 'regali' Harjău,Romania
23532.0,zax1e,Doron 'Zax1e' Prizent,Israel
19882.0,norwi,Evgeny 'Norwi' Ermolin,Russia
18670.0,sellter,Ivan 'SELLTER' Miroshnikov,Russia
13240.0,lack1,Viktor 'Lack1' Boldyrev,Kazakhstan
20700.0,lattykk,Vladislav 'lattykk' Vydrin,Russia
19236.0,kensi,Aleksandr 'KENSI' Gurkin,Russia
23068.0,katalyyst,Cynthia 'katalyyst' Sheerajin,United States
23506.0,megageese,August 'MegaGeese' White,United States
23507.0,tokkis,Cass 'tokkis' Dellinger,United States
23508.0,rbn,Robin 'rbn' Bondari,United States
23531.0,cinnamon,Maggie 'cinnamon' Elizabeth,United States
13324.0,m1lky,Kiara 'm1lky' Makua,United States
22096.0,7licious,Tilde '7licious' Byström,Sweden
20156.0,juli,Juliana 'Juli' Tosic,United States
22111.0,vanessa,Vanessa 'vanessa' Gideon,United States
22067.0,piggykiki,Kiki 'PiggyKiki' Long,China
20458.0,giraffley,Ashley 'giraffley' Kelly,United States
23520.0,auti,Autumn 'Auti' Ruttig,United States
23522.0,swan,Hailey 'Swan' Pflughoft,United States
23519.0,chels,Chelsea 'Chels' Freitas,Canada
23521.0,shelby,Shelby 'Shelby' A.,Canada
